index_row,Hospital_ID,Spezialisierung,value
87,ID88,Aufgestellte_Betten_insgesamt,425
89,ID90,Aufgestellte_Betten_insgesamt,24
90,ID91,Aufgestellte_Betten_insgesamt,317
92,ID93,Aufgestellte_Betten_insgesamt,50
94,ID95,Aufgestellte_Betten_insgesamt,53
95,ID96,Aufgestellte_Betten_insgesamt,172
98,ID99,Aufgestellte_Betten_insgesamt,69
99,ID100,Aufgestellte_Betten_insgesamt,29
100,ID101,Aufgestellte_Betten_insgesamt,10
101,ID102,Aufgestellte_Betten_insgesamt,179
102,ID103,Aufgestellte_Betten_insgesamt,186
103,ID104,Aufgestellte_Betten_insgesamt,18
104,ID105,Aufgestellte_Betten_insgesamt,3
105,ID106,Aufgestellte_Betten_insgesamt,22
107,ID108,Aufgestellte_Betten_insgesamt,541
108,ID109,Aufgestellte_Betten_insgesamt,17
109,ID110,Aufgestellte_Betten_insgesamt,26
110,ID111,Aufgestellte_Betten_insgesamt,128
111,ID112,Aufgestellte_Betten_insgesamt,157
113,ID114,Aufgestellte_Betten_insgesamt,391
115,ID116,Aufgestellte_Betten_insgesamt,205
116,ID117,Aufgestellte_Betten_insgesamt,350
117,ID118,Aufgestellte_Betten_insgesamt,69
119,ID120,Aufgestellte_Betten_insgesamt,533
121,ID122,Aufgestellte_Betten_insgesamt,165
126,ID127,Aufgestellte_Betten_insgesamt,24
128,ID129,Aufgestellte_Betten_insgesamt,360
129,ID130,Aufgestellte_Betten_insgesamt,81
131,ID132,Aufgestellte_Betten_insgesamt,609
133,ID134,Aufgestellte_Betten_insgesamt,111
134,ID135,Aufgestellte_Betten_insgesamt,2
135,ID136,Aufgestellte_Betten_insgesamt,229
137,ID138,Aufgestellte_Betten_insgesamt,194
138,ID139,Aufgestellte_Betten_insgesamt,179
140,ID141,Aufgestellte_Betten_insgesamt,351
141,ID142,Aufgestellte_Betten_insgesamt,10
142,ID143,Aufgestellte_Betten_insgesamt,3
143,ID144,Aufgestellte_Betten_insgesamt,36
144,ID145,Aufgestellte_Betten_insgesamt,18
145,ID146,Aufgestellte_Betten_insgesamt,3
146,ID147,Aufgestellte_Betten_insgesamt,2
147,ID148,Aufgestellte_Betten_insgesamt,2
149,ID150,Aufgestellte_Betten_insgesamt,3
154,ID155,Aufgestellte_Betten_insgesamt,584
155,ID156,Aufgestellte_Betten_insgesamt,49
158,ID159,Aufgestellte_Betten_insgesamt,20
160,ID161,Aufgestellte_Betten_insgesamt,157
161,ID162,Aufgestellte_Betten_insgesamt,169
162,ID163,Aufgestellte_Betten_insgesamt,32
163,ID164,Aufgestellte_Betten_insgesamt,220
165,ID166,Aufgestellte_Betten_insgesamt,605
166,ID167,Aufgestellte_Betten_insgesamt,32
167,ID168,Aufgestellte_Betten_insgesamt,7
170,ID171,Aufgestellte_Betten_insgesamt,67
171,ID172,Aufgestellte_Betten_insgesamt,130
172,ID173,Aufgestellte_Betten_insgesamt,5
173,ID174,Aufgestellte_Betten_insgesamt,553
174,ID175,Aufgestellte_Betten_insgesamt,45
175,ID176,Aufgestellte_Betten_insgesamt,402
176,ID177,Aufgestellte_Betten_insgesamt,9
177,ID178,Aufgestellte_Betten_insgesamt,20
178,ID179,Aufgestellte_Betten_insgesamt,3
179,ID180,Aufgestellte_Betten_insgesamt,3
180,ID181,Aufgestellte_Betten_insgesamt,18
181,ID182,Aufgestellte_Betten_insgesamt,8
182,ID183,Aufgestellte_Betten_insgesamt,732
184,ID185,Aufgestellte_Betten_insgesamt,5
185,ID186,Aufgestellte_Betten_insgesamt,90
186,ID187,Aufgestellte_Betten_insgesamt,67
187,ID188,Aufgestellte_Betten_insgesamt,245
188,ID189,Aufgestellte_Betten_insgesamt,1496
189,ID190,Aufgestellte_Betten_insgesamt,7
190,ID191,Aufgestellte_Betten_insgesamt,284
191,ID192,Aufgestellte_Betten_insgesamt,190
192,ID193,Aufgestellte_Betten_insgesamt,3
194,ID195,Aufgestellte_Betten_insgesamt,2
197,ID198,Aufgestellte_Betten_insgesamt,578
198,ID199,Aufgestellte_Betten_insgesamt,22
199,ID200,Aufgestellte_Betten_insgesamt,35
200,ID201,Aufgestellte_Betten_insgesamt,751
201,ID202,Aufgestellte_Betten_insgesamt,645
202,ID203,Aufgestellte_Betten_insgesamt,12
203,ID204,Aufgestellte_Betten_insgesamt,654
204,ID205,Aufgestellte_Betten_insgesamt,506
206,ID207,Aufgestellte_Betten_insgesamt,29
207,ID208,Aufgestellte_Betten_insgesamt,150
208,ID209,Aufgestellte_Betten_insgesamt,130
209,ID210,Aufgestellte_Betten_insgesamt,515
210,ID211,Aufgestellte_Betten_insgesamt,4
211,ID212,Aufgestellte_Betten_insgesamt,17
215,ID216,Aufgestellte_Betten_insgesamt,344
216,ID217,Aufgestellte_Betten_insgesamt,179
217,ID218,Aufgestellte_Betten_insgesamt,577
218,ID219,Aufgestellte_Betten_insgesamt,24
219,ID220,Aufgestellte_Betten_insgesamt,2
220,ID221,Aufgestellte_Betten_insgesamt,344
221,ID222,Aufgestellte_Betten_insgesamt,852
222,ID223,Aufgestellte_Betten_insgesamt,176
224,ID225,Aufgestellte_Betten_insgesamt,19
225,ID226,Aufgestellte_Betten_insgesamt,147
226,ID227,Aufgestellte_Betten_insgesamt,250
227,ID228,Aufgestellte_Betten_insgesamt,15
228,ID229,Aufgestellte_Betten_insgesamt,284
229,ID230,Aufgestellte_Betten_insgesamt,97
230,ID231,Aufgestellte_Betten_insgesamt,842
231,ID232,Aufgestellte_Betten_insgesamt,20
232,ID233,Aufgestellte_Betten_insgesamt,8
233,ID234,Aufgestellte_Betten_insgesamt,300
234,ID235,Aufgestellte_Betten_insgesamt,108
235,ID236,Aufgestellte_Betten_insgesamt,547
236,ID237,Aufgestellte_Betten_insgesamt,344
237,ID238,Aufgestellte_Betten_insgesamt,35
238,ID239,Aufgestellte_Betten_insgesamt,67
242,ID243,Aufgestellte_Betten_insgesamt,280
243,ID244,Aufgestellte_Betten_insgesamt,284
244,ID245,Aufgestellte_Betten_insgesamt,80
245,ID246,Aufgestellte_Betten_insgesamt,298
246,ID247,Aufgestellte_Betten_insgesamt,39
247,ID248,Aufgestellte_Betten_insgesamt,300
248,ID249,Aufgestellte_Betten_insgesamt,614
255,ID256,Aufgestellte_Betten_insgesamt,52
256,ID257,Aufgestellte_Betten_insgesamt,222
257,ID258,Aufgestellte_Betten_insgesamt,103
258,ID259,Aufgestellte_Betten_insgesamt,252
259,ID260,Aufgestellte_Betten_insgesamt,296
260,ID261,Aufgestellte_Betten_insgesamt,62
261,ID262,Aufgestellte_Betten_insgesamt,32
262,ID263,Aufgestellte_Betten_insgesamt,35
263,ID264,Aufgestellte_Betten_insgesamt,188
264,ID265,Aufgestellte_Betten_insgesamt,100
265,ID266,Aufgestellte_Betten_insgesamt,436
267,ID268,Aufgestellte_Betten_insgesamt,118
268,ID269,Aufgestellte_Betten_insgesamt,325
269,ID270,Aufgestellte_Betten_insgesamt,83
270,ID271,Aufgestellte_Betten_insgesamt,1493
271,ID272,Aufgestellte_Betten_insgesamt,160
272,ID273,Aufgestellte_Betten_insgesamt,193
273,ID274,Aufgestellte_Betten_insgesamt,210
274,ID275,Aufgestellte_Betten_insgesamt,166
275,ID276,Aufgestellte_Betten_insgesamt,441
276,ID277,Aufgestellte_Betten_insgesamt,268
277,ID278,Aufgestellte_Betten_insgesamt,181
278,ID279,Aufgestellte_Betten_insgesamt,202
279,ID280,Aufgestellte_Betten_insgesamt,36
280,ID281,Aufgestellte_Betten_insgesamt,114
281,ID282,Aufgestellte_Betten_insgesamt,220
282,ID283,Aufgestellte_Betten_insgesamt,15
284,ID285,Aufgestellte_Betten_insgesamt,408
285,ID286,Aufgestellte_Betten_insgesamt,564
286,ID287,Aufgestellte_Betten_insgesamt,1431
288,ID289,Aufgestellte_Betten_insgesamt,117
289,ID290,Aufgestellte_Betten_insgesamt,430
290,ID291,Aufgestellte_Betten_insgesamt,216
291,ID292,Aufgestellte_Betten_insgesamt,349
292,ID293,Aufgestellte_Betten_insgesamt,246
293,ID294,Aufgestellte_Betten_insgesamt,46
295,ID296,Aufgestellte_Betten_insgesamt,202
296,ID297,Aufgestellte_Betten_insgesamt,120
297,ID298,Aufgestellte_Betten_insgesamt,158
298,ID299,Aufgestellte_Betten_insgesamt,272
299,ID300,Aufgestellte_Betten_insgesamt,289
306,ID307,Aufgestellte_Betten_insgesamt,425
307,ID308,Aufgestellte_Betten_insgesamt,241
310,ID311,Aufgestellte_Betten_insgesamt,116
311,ID312,Aufgestellte_Betten_insgesamt,127
312,ID313,Aufgestellte_Betten_insgesamt,58
313,ID314,Aufgestellte_Betten_insgesamt,54
314,ID315,Aufgestellte_Betten_insgesamt,243
315,ID316,Aufgestellte_Betten_insgesamt,73
316,ID317,Aufgestellte_Betten_insgesamt,110
317,ID318,Aufgestellte_Betten_insgesamt,40
318,ID319,Aufgestellte_Betten_insgesamt,353
319,ID320,Aufgestellte_Betten_insgesamt,140
320,ID321,Aufgestellte_Betten_insgesamt,125
321,ID322,Aufgestellte_Betten_insgesamt,366
327,ID328,Aufgestellte_Betten_insgesamt,589
328,ID329,Aufgestellte_Betten_insgesamt,502
329,ID330,Aufgestellte_Betten_insgesamt,117
330,ID331,Aufgestellte_Betten_insgesamt,179
331,ID332,Aufgestellte_Betten_insgesamt,24
332,ID333,Aufgestellte_Betten_insgesamt,293
333,ID334,Aufgestellte_Betten_insgesamt,63
334,ID335,Aufgestellte_Betten_insgesamt,369
336,ID337,Aufgestellte_Betten_insgesamt,28
337,ID338,Aufgestellte_Betten_insgesamt,77
338,ID339,Aufgestellte_Betten_insgesamt,77
339,ID340,Aufgestellte_Betten_insgesamt,8
340,ID341,Aufgestellte_Betten_insgesamt,491
341,ID342,Aufgestellte_Betten_insgesamt,76
343,ID344,Aufgestellte_Betten_insgesamt,199
344,ID345,Aufgestellte_Betten_insgesamt,81
345,ID346,Aufgestellte_Betten_insgesamt,101
346,ID347,Aufgestellte_Betten_insgesamt,222
347,ID348,Aufgestellte_Betten_insgesamt,304
348,ID349,Aufgestellte_Betten_insgesamt,73
349,ID350,Aufgestellte_Betten_insgesamt,140
350,ID351,Aufgestellte_Betten_insgesamt,255
351,ID352,Aufgestellte_Betten_insgesamt,106
352,ID353,Aufgestellte_Betten_insgesamt,36
353,ID354,Aufgestellte_Betten_insgesamt,300
358,ID359,Aufgestellte_Betten_insgesamt,559
359,ID360,Aufgestellte_Betten_insgesamt,109
361,ID362,Aufgestellte_Betten_insgesamt,128
362,ID363,Aufgestellte_Betten_insgesamt,162
363,ID364,Aufgestellte_Betten_insgesamt,711
364,ID365,Aufgestellte_Betten_insgesamt,24
366,ID367,Aufgestellte_Betten_insgesamt,22
367,ID368,Aufgestellte_Betten_insgesamt,126
368,ID369,Aufgestellte_Betten_insgesamt,61
369,ID370,Aufgestellte_Betten_insgesamt,207
370,ID371,Aufgestellte_Betten_insgesamt,298
371,ID372,Aufgestellte_Betten_insgesamt,573
372,ID373,Aufgestellte_Betten_insgesamt,47
373,ID374,Aufgestellte_Betten_insgesamt,26
374,ID375,Aufgestellte_Betten_insgesamt,25
375,ID376,Aufgestellte_Betten_insgesamt,33
376,ID377,Aufgestellte_Betten_insgesamt,208
377,ID378,Aufgestellte_Betten_insgesamt,103
378,ID379,Aufgestellte_Betten_insgesamt,302
379,ID380,Aufgestellte_Betten_insgesamt,96
382,ID383,Aufgestellte_Betten_insgesamt,124
383,ID384,Aufgestellte_Betten_insgesamt,130
384,ID385,Aufgestellte_Betten_insgesamt,286
385,ID386,Aufgestellte_Betten_insgesamt,431
387,ID388,Aufgestellte_Betten_insgesamt,445
388,ID389,Aufgestellte_Betten_insgesamt,752
389,ID390,Aufgestellte_Betten_insgesamt,417
390,ID391,Aufgestellte_Betten_insgesamt,382
391,ID392,Aufgestellte_Betten_insgesamt,14
392,ID393,Aufgestellte_Betten_insgesamt,117
393,ID394,Aufgestellte_Betten_insgesamt,50
395,ID396,Aufgestellte_Betten_insgesamt,735
396,ID397,Aufgestellte_Betten_insgesamt,180
397,ID398,Aufgestellte_Betten_insgesamt,492
398,ID399,Aufgestellte_Betten_insgesamt,7
399,ID400,Aufgestellte_Betten_insgesamt,493
400,ID401,Aufgestellte_Betten_insgesamt,460
406,ID407,Aufgestellte_Betten_insgesamt,40
407,ID408,Aufgestellte_Betten_insgesamt,23
408,ID409,Aufgestellte_Betten_insgesamt,444
409,ID410,Aufgestellte_Betten_insgesamt,91
410,ID411,Aufgestellte_Betten_insgesamt,347
411,ID412,Aufgestellte_Betten_insgesamt,293
412,ID413,Aufgestellte_Betten_insgesamt,64
413,ID414,Aufgestellte_Betten_insgesamt,307
414,ID415,Aufgestellte_Betten_insgesamt,115
415,ID416,Aufgestellte_Betten_insgesamt,127
416,ID417,Aufgestellte_Betten_insgesamt,184
417,ID418,Aufgestellte_Betten_insgesamt,120
418,ID419,Aufgestellte_Betten_insgesamt,441
419,ID420,Aufgestellte_Betten_insgesamt,420
420,ID421,Aufgestellte_Betten_insgesamt,232
421,ID422,Aufgestellte_Betten_insgesamt,53
423,ID424,Aufgestellte_Betten_insgesamt,154
424,ID425,Aufgestellte_Betten_insgesamt,140
425,ID426,Aufgestellte_Betten_insgesamt,355
426,ID427,Aufgestellte_Betten_insgesamt,155
427,ID428,Aufgestellte_Betten_insgesamt,68
428,ID429,Aufgestellte_Betten_insgesamt,50
429,ID430,Aufgestellte_Betten_insgesamt,387
430,ID431,Aufgestellte_Betten_insgesamt,75
431,ID432,Aufgestellte_Betten_insgesamt,16
432,ID433,Aufgestellte_Betten_insgesamt,295
433,ID434,Aufgestellte_Betten_insgesamt,368
434,ID435,Aufgestellte_Betten_insgesamt,60
437,ID438,Aufgestellte_Betten_insgesamt,51
438,ID439,Aufgestellte_Betten_insgesamt,61
439,ID440,Aufgestellte_Betten_insgesamt,144
440,ID441,Aufgestellte_Betten_insgesamt,116
441,ID442,Aufgestellte_Betten_insgesamt,25
442,ID443,Aufgestellte_Betten_insgesamt,33
443,ID444,Aufgestellte_Betten_insgesamt,212
444,ID445,Aufgestellte_Betten_insgesamt,100
445,ID446,Aufgestellte_Betten_insgesamt,277
446,ID447,Aufgestellte_Betten_insgesamt,24
447,ID448,Aufgestellte_Betten_insgesamt,223
448,ID449,Aufgestellte_Betten_insgesamt,165
449,ID450,Aufgestellte_Betten_insgesamt,430
450,ID451,Aufgestellte_Betten_insgesamt,244
451,ID452,Aufgestellte_Betten_insgesamt,212
452,ID453,Aufgestellte_Betten_insgesamt,199
453,ID454,Aufgestellte_Betten_insgesamt,329
454,ID455,Aufgestellte_Betten_insgesamt,114
455,ID456,Aufgestellte_Betten_insgesamt,89
456,ID457,Aufgestellte_Betten_insgesamt,174
457,ID458,Aufgestellte_Betten_insgesamt,201
458,ID459,Aufgestellte_Betten_insgesamt,401
459,ID460,Aufgestellte_Betten_insgesamt,916
460,ID461,Aufgestellte_Betten_insgesamt,415
461,ID462,Aufgestellte_Betten_insgesamt,49
462,ID463,Aufgestellte_Betten_insgesamt,735
466,ID467,Aufgestellte_Betten_insgesamt,515
467,ID468,Aufgestellte_Betten_insgesamt,405
468,ID469,Aufgestellte_Betten_insgesamt,75
469,ID470,Aufgestellte_Betten_insgesamt,141
470,ID471,Aufgestellte_Betten_insgesamt,271
471,ID472,Aufgestellte_Betten_insgesamt,164
472,ID473,Aufgestellte_Betten_insgesamt,130
474,ID475,Aufgestellte_Betten_insgesamt,655
476,ID477,Aufgestellte_Betten_insgesamt,553
478,ID479,Aufgestellte_Betten_insgesamt,458
480,ID481,Aufgestellte_Betten_insgesamt,182
481,ID482,Aufgestellte_Betten_insgesamt,105
483,ID484,Aufgestellte_Betten_insgesamt,202
484,ID485,Aufgestellte_Betten_insgesamt,20
485,ID486,Aufgestellte_Betten_insgesamt,603
487,ID488,Aufgestellte_Betten_insgesamt,340
488,ID489,Aufgestellte_Betten_insgesamt,84
489,ID490,Aufgestellte_Betten_insgesamt,211
490,ID491,Aufgestellte_Betten_insgesamt,249
491,ID492,Aufgestellte_Betten_insgesamt,202
492,ID493,Aufgestellte_Betten_insgesamt,247
493,ID494,Aufgestellte_Betten_insgesamt,1065
494,ID495,Aufgestellte_Betten_insgesamt,329
495,ID496,Aufgestellte_Betten_insgesamt,389
496,ID497,Aufgestellte_Betten_insgesamt,201
497,ID498,Aufgestellte_Betten_insgesamt,413
498,ID499,Aufgestellte_Betten_insgesamt,52
499,ID500,Aufgestellte_Betten_insgesamt,322
500,ID501,Aufgestellte_Betten_insgesamt,571
501,ID502,Aufgestellte_Betten_insgesamt,260
502,ID503,Aufgestellte_Betten_insgesamt,341
503,ID504,Aufgestellte_Betten_insgesamt,224
504,ID505,Aufgestellte_Betten_insgesamt,96
505,ID506,Aufgestellte_Betten_insgesamt,613
506,ID507,Aufgestellte_Betten_insgesamt,431
507,ID508,Aufgestellte_Betten_insgesamt,310
508,ID509,Aufgestellte_Betten_insgesamt,587
509,ID510,Aufgestellte_Betten_insgesamt,480
510,ID511,Aufgestellte_Betten_insgesamt,32
511,ID512,Aufgestellte_Betten_insgesamt,320
512,ID513,Aufgestellte_Betten_insgesamt,432
514,ID515,Aufgestellte_Betten_insgesamt,421
515,ID516,Aufgestellte_Betten_insgesamt,243
516,ID517,Aufgestellte_Betten_insgesamt,154
518,ID519,Aufgestellte_Betten_insgesamt,134
519,ID520,Aufgestellte_Betten_insgesamt,90
520,ID521,Aufgestellte_Betten_insgesamt,19
521,ID522,Aufgestellte_Betten_insgesamt,229
522,ID523,Aufgestellte_Betten_insgesamt,162
523,ID524,Aufgestellte_Betten_insgesamt,1115
524,ID525,Aufgestellte_Betten_insgesamt,25
525,ID526,Aufgestellte_Betten_insgesamt,125
526,ID527,Aufgestellte_Betten_insgesamt,981
527,ID528,Aufgestellte_Betten_insgesamt,200
528,ID529,Aufgestellte_Betten_insgesamt,128
531,ID532,Aufgestellte_Betten_insgesamt,575
533,ID534,Aufgestellte_Betten_insgesamt,226
534,ID535,Aufgestellte_Betten_insgesamt,693
535,ID536,Aufgestellte_Betten_insgesamt,286
536,ID537,Aufgestellte_Betten_insgesamt,235
540,ID541,Aufgestellte_Betten_insgesamt,536
541,ID542,Aufgestellte_Betten_insgesamt,473
543,ID544,Aufgestellte_Betten_insgesamt,298
544,ID545,Aufgestellte_Betten_insgesamt,330
545,ID546,Aufgestellte_Betten_insgesamt,124
546,ID547,Aufgestellte_Betten_insgesamt,119
547,ID548,Aufgestellte_Betten_insgesamt,439
548,ID549,Aufgestellte_Betten_insgesamt,322
549,ID550,Aufgestellte_Betten_insgesamt,199
550,ID551,Aufgestellte_Betten_insgesamt,352
552,ID553,Aufgestellte_Betten_insgesamt,92
553,ID554,Aufgestellte_Betten_insgesamt,144
554,ID555,Aufgestellte_Betten_insgesamt,40
556,ID557,Aufgestellte_Betten_insgesamt,282
557,ID558,Aufgestellte_Betten_insgesamt,479
558,ID559,Aufgestellte_Betten_insgesamt,358
559,ID560,Aufgestellte_Betten_insgesamt,14
560,ID561,Aufgestellte_Betten_insgesamt,58
564,ID565,Aufgestellte_Betten_insgesamt,24
565,ID566,Aufgestellte_Betten_insgesamt,809
566,ID567,Aufgestellte_Betten_insgesamt,163
567,ID568,Aufgestellte_Betten_insgesamt,283
568,ID569,Aufgestellte_Betten_insgesamt,473
569,ID570,Aufgestellte_Betten_insgesamt,268
570,ID571,Aufgestellte_Betten_insgesamt,261
572,ID573,Aufgestellte_Betten_insgesamt,297
573,ID574,Aufgestellte_Betten_insgesamt,173
574,ID575,Aufgestellte_Betten_insgesamt,90
575,ID576,Aufgestellte_Betten_insgesamt,210
576,ID577,Aufgestellte_Betten_insgesamt,44
577,ID578,Aufgestellte_Betten_insgesamt,342
578,ID579,Aufgestellte_Betten_insgesamt,217
580,ID581,Aufgestellte_Betten_insgesamt,48
583,ID584,Aufgestellte_Betten_insgesamt,183
584,ID585,Aufgestellte_Betten_insgesamt,179
586,ID587,Aufgestellte_Betten_insgesamt,340
589,ID590,Aufgestellte_Betten_insgesamt,245
590,ID591,Aufgestellte_Betten_insgesamt,120
591,ID592,Aufgestellte_Betten_insgesamt,160
592,ID593,Aufgestellte_Betten_insgesamt,191
593,ID594,Aufgestellte_Betten_insgesamt,76
594,ID595,Aufgestellte_Betten_insgesamt,486
595,ID596,Aufgestellte_Betten_insgesamt,12
597,ID598,Aufgestellte_Betten_insgesamt,294
599,ID600,Aufgestellte_Betten_insgesamt,308
602,ID603,Aufgestellte_Betten_insgesamt,105
603,ID604,Aufgestellte_Betten_insgesamt,30
604,ID605,Aufgestellte_Betten_insgesamt,333
608,ID609,Aufgestellte_Betten_insgesamt,415
609,ID610,Aufgestellte_Betten_insgesamt,537
611,ID612,Aufgestellte_Betten_insgesamt,18
613,ID614,Aufgestellte_Betten_insgesamt,254
615,ID616,Aufgestellte_Betten_insgesamt,175
616,ID617,Aufgestellte_Betten_insgesamt,318
617,ID618,Aufgestellte_Betten_insgesamt,78
618,ID619,Aufgestellte_Betten_insgesamt,15
619,ID620,Aufgestellte_Betten_insgesamt,322
620,ID621,Aufgestellte_Betten_insgesamt,11
621,ID622,Aufgestellte_Betten_insgesamt,185
622,ID623,Aufgestellte_Betten_insgesamt,279
623,ID624,Aufgestellte_Betten_insgesamt,473
624,ID625,Aufgestellte_Betten_insgesamt,356
625,ID626,Aufgestellte_Betten_insgesamt,519
626,ID627,Aufgestellte_Betten_insgesamt,384
627,ID628,Aufgestellte_Betten_insgesamt,95
628,ID629,Aufgestellte_Betten_insgesamt,341
630,ID631,Aufgestellte_Betten_insgesamt,418
631,ID632,Aufgestellte_Betten_insgesamt,150
632,ID633,Aufgestellte_Betten_insgesamt,6
633,ID634,Aufgestellte_Betten_insgesamt,83
634,ID635,Aufgestellte_Betten_insgesamt,182
635,ID636,Aufgestellte_Betten_insgesamt,219
636,ID637,Aufgestellte_Betten_insgesamt,210
637,ID638,Aufgestellte_Betten_insgesamt,279
638,ID639,Aufgestellte_Betten_insgesamt,381
639,ID640,Aufgestellte_Betten_insgesamt,322
640,ID641,Aufgestellte_Betten_insgesamt,265
641,ID642,Aufgestellte_Betten_insgesamt,618
642,ID643,Aufgestellte_Betten_insgesamt,6
643,ID644,Aufgestellte_Betten_insgesamt,40
644,ID645,Aufgestellte_Betten_insgesamt,1385
645,ID646,Aufgestellte_Betten_insgesamt,150
647,ID648,Aufgestellte_Betten_insgesamt,212
648,ID649,Aufgestellte_Betten_insgesamt,182
649,ID650,Aufgestellte_Betten_insgesamt,325
650,ID651,Aufgestellte_Betten_insgesamt,304
651,ID652,Aufgestellte_Betten_insgesamt,45
652,ID653,Aufgestellte_Betten_insgesamt,143
653,ID654,Aufgestellte_Betten_insgesamt,64
654,ID655,Aufgestellte_Betten_insgesamt,300
655,ID656,Aufgestellte_Betten_insgesamt,521
656,ID657,Aufgestellte_Betten_insgesamt,300
657,ID658,Aufgestellte_Betten_insgesamt,420
660,ID661,Aufgestellte_Betten_insgesamt,26
661,ID662,Aufgestellte_Betten_insgesamt,420
662,ID663,Aufgestellte_Betten_insgesamt,10
663,ID664,Aufgestellte_Betten_insgesamt,85
664,ID665,Aufgestellte_Betten_insgesamt,137
665,ID666,Aufgestellte_Betten_insgesamt,222
666,ID667,Aufgestellte_Betten_insgesamt,451
667,ID668,Aufgestellte_Betten_insgesamt,273
668,ID669,Aufgestellte_Betten_insgesamt,233
669,ID670,Aufgestellte_Betten_insgesamt,270
670,ID671,Aufgestellte_Betten_insgesamt,360
672,ID673,Aufgestellte_Betten_insgesamt,15
673,ID674,Aufgestellte_Betten_insgesamt,1455
674,ID675,Aufgestellte_Betten_insgesamt,89
675,ID676,Aufgestellte_Betten_insgesamt,257
676,ID677,Aufgestellte_Betten_insgesamt,569
677,ID678,Aufgestellte_Betten_insgesamt,200
679,ID680,Aufgestellte_Betten_insgesamt,319
680,ID681,Aufgestellte_Betten_insgesamt,378
681,ID682,Aufgestellte_Betten_insgesamt,1596
682,ID683,Aufgestellte_Betten_insgesamt,90
685,ID686,Aufgestellte_Betten_insgesamt,292
687,ID688,Aufgestellte_Betten_insgesamt,125
688,ID689,Aufgestellte_Betten_insgesamt,263
690,ID691,Aufgestellte_Betten_insgesamt,375
693,ID694,Aufgestellte_Betten_insgesamt,449
694,ID695,Aufgestellte_Betten_insgesamt,361
695,ID696,Aufgestellte_Betten_insgesamt,288
696,ID697,Aufgestellte_Betten_insgesamt,361
