Hospital_ID;Land;Kreis;Gemeinde;Adresse_Name;Adresse_Name_Standort;Adresse_Strasse_Standort;Adresse_Haus-Nr._Standort;Adresse_Postleitzahl_Standort;Adresse_Ort_Standort;Telefonvorwahl/-nummer;E-Mail Adresse;Internet-Adresse;Traeger;T_Name;EinrichtungsTyp;Allgemeine_Notfallversorgung;Spezielle_Notfallversorgung;Spezielle_Notfallversorgung;Spezielle_Notfallversorgung;Spezielle_Notfallversorgung;Spezielle_Notfallversorgung
ID11;01;002;000;DIAKO Nordfriesland gGmbH - Fachklinik für Psychiatrie und Psychosomatik;Amb. Behandlung Fachambulanz Kiel;Boninstraße;27a;24114;Kiel;;wienerbu@diako.de;www.diako-nf.de/;2;DIAKO Nordfriesland gGmbH;2;0;2;2;2;2;2
ID12;01;002;000;Helios Klinik Kiel;Helios Klinik Kiel;Hamburger Chaussee;77;24113;Kiel;0431 7206307;Martin.Pyrozok@helios-gesundheit.de;www.helios-gesundheit.de/kliniken/kiel/;3;HELIOS Klinik Kiel GmbH;2;0;2;2;2;2;2
ID13;01;002;000;Klinik Flechsig GmbH;Klinik Flechsig GmbH;Chemnitzstraße;33;24116;Kiel;0431 3397143;ahrens@klinik-flechsig.de;www.klinik-flechsig.de/;3;Klinik Flechsig GmbH;2;0;2;2;2;2;2
ID14;01;002;000;Kopfcentrum;Kopfcentrum;Am Germaniahafen;4;24143;Kiel;;look@kopfcentrum.de;www.kopfcentrum.de/operations-centrum-am-germaniahafen/;3;Kopfcentrum Management GmbH;4;0;2;2;2;2;2
ID15;01;002;000;Kosmed-Klinik;Kosmed Klinik;Eckernförder Straße;219;24119;Kiel;;;www.kosmed-klinik.de/willkommen.html;3;Kosmed-Klinik GmbH;4;0;2;2;2;2;2
ID16;01;002;000;Lubinus-Stiftung;Lubinus Clinicum;Steenbeker Weg;25;24106;Kiel;0431 82238;E.Petersen@lubinus-stiftung.de;www.lubinus-stiftung.de/;2;Lubinus Stiftung;2;0;2;2;1;2;2
ID17;01;002;000;Lubinus-Stiftung;Sankt Elisabeth Krankenhaus Kiel;Königsweg;8;24103;Kiel;0431 82238;E.Petersen@lubinus-stiftung.de;www.lubinus-stiftung.de/;2;Lubinus Stiftung;2;0;2;2;2;2;2
ID18;01;002;000;nordBLICK Augenklinik Bellevue GmbH;nordBLICK Augenklinik Bellevue GmbH;Lindenallee;21-23;24105;Kiel;0431 30108413-0;j.sterna@nordblick.de;www.nordblick.de/home.html;3;nordBLICK Augenklinik Bellevue GmbH;2;0;2;2;2;2;2
ID19;01;002;000;Park-Klinik GmbH Kiel;Park-Klinik GmbH Kiel;Goethestraße;11;24116;Kiel;0431 590911-0;j.bauer@park-klinik.de;www.park-klinik-kiel.de/;3;Park-Klinik GmbH;2;0;2;2;2;2;2
ID20;01;002;000;Psychiatrische Tagesklinik Kieler Fenster;Psychiatrische Tagesklinik Kieler Fenster;Alte Lübecker Chaussee;1;24114;Kiel;0431 6498016;k.maresch@kieler-fenster.de;www.kieler-fenster.de/;2;Verein zur Förderung sozialpädagogischer Initiativen e.V.;4;0;2;2;2;2;2
ID21;01;002;000;Schmerzklinik Kiel GmbH & Co. KG;Schmerzklinik Kiel GmbH & Co. KG;Heikendorfer Weg;9-27;24149;Kiel;;hg@schmerzklinik.de;schmerzklinik.de/;3;Schmerzklinik Kiel GmbH & Co. KG;2;0;2;2;2;2;2
ID22;01;002;000;Städtisches Krankenhaus Kiel GmbH;Städtisches Krankenhaus Kiel GmbH;Chemnitzstraße;33;24116;Kiel;;nicole.schroeder@krankenhaus-kiel.de;www.krankenhaus-kiel.de/;1;Städtisches Krankenhaus Kiel GmbH;2;2;2;2;2;2;2
ID23;01;002;000;Universitätsklinikum Schleswig-Holstein;Universitätsklinikum Schleswig-Holstein Campus Kiel;Arnold-Heller-Straße;3;24105;Kiel;;christian.wenn@uksh.de;www.uksh.de/;1;Universitätsklinikum Schleswig-Holstein;1;3;1;1;1;1;1
ID24;01;002;000;Zentrum für Integrative Psychiatrie ZIP gGmbH - Campus Kiel;Zentrum für Integrative Psychiatrie Kiel - Ostufer;Karlstal;34a;24143;Kiel;;Marlies.Buhs@uksh.de;zip.uksh.de/;1;Zentrum für Integrative Psychiatrie ZIP gGmbH;2;0;2;2;2;2;2
ID25;01;002;000;Zentrum für Integrative Psychiatrie ZIP gGmbH - Campus Kiel;Zentrum für Integrative Psychiatrie Kiel -Niemannsweg/Klaus-Groth-Platz;Niemannsweg;147;24105;Kiel;;Marlies.Buhs@uksh.de;zip.uksh.de/;1;Zentrum für Integrative Psychiatrie ZIP gGmbH;2;0;2;2;2;2;2
ID26;01;003;000;AMEOS Klinika Neustadt, Lübeck und Eutin;AMEOS Klinikum Lübeck;Kahlhorststraße;33;23562;Lübeck;;lgah.verw@neustadt.ameos.de;www.ameos.eu/standorte/ameos-nord/;3;AMEOS Krankenhausgesellschaft Holstein mbH;2;0;2;2;2;2;2
ID27;01;003;000;AMEOS Klinikum Lübeck;AMEOS Klinikum Lübeck;Weidenweg;9;23562;Lübeck;;jmer.verw@neustadt.ameos.de;www.ameos.eu/standorte/ameos-nord/luebeck/;3;AMEOS Klinika Lübeck GmbH;2;0;2;2;2;2;2
ID28;01;003;000;Augenklinik am Klingenberg;Augenklinik am Klingenberg;Marlesgrube;1;23552;Lübeck;0451 864848;peterhiss@gmx.de;www.augenklinik-am-klingenberg.de/;3;Dr. med. Peter Hiss;4;0;2;2;2;2;2
ID29;01;003;000;Hanse-Klinik GmbH;Hanse-Klinik GmbH;St.-Jürgen Ring;66;23564;Lübeck;;info@hanse-klinik.de;www.hanse-klinik.de/de;3;Hanse-Klinik GmbH;4;0;2;2;2;2;2
ID30;01;003;000;Holstentor-Privatklinik für Ästhetisch-Plastische Chirurgie;Holstentor-Privatklinik für Ästhetisch-Plastische Chirurgie;Untertrave;;23552;Lübeck;;info@dr-valina.de;plastische-chirurgie-luebeck.de/;3;Holstentor Privatklinik GmbH;4;0;2;2;2;2;2
ID31;01;003;000;Katholisches Marien-Krankenhaus Lübeck gGmbH;Katholisches Marien-Krankenhaus Lübeck gGmbH;Parade;3;23552;Lübeck;;wehde@marien-krankenhaus.de;www.marien-krankenhaus.de/;2;Katholisches Marien-Krankenhaus Lübeck gemeinnützige GmbH;2;0;2;2;1;2;2
ID32;01;003;000;Krankenhaus Rotes Kreuz Lübeck -Geriatriezentrum-;Krankenhaus Rotes Kreuz Lübeck - EGH II;Erika-Gerstung-Straße;1;23568;Lübeck;0451 98902454;henze@geriatrie-luebeck.de;www.geriatrie-luebeck.de/;3;DRK-Therapiezentrum Marli GmbH;2;0;2;2;2;2;2
ID33;01;003;000;Krankenhaus Rotes Kreuz Lübeck -Geriatriezentrum-;Krankenhaus Rotes Kreuz Lübeck - Haus am Stadtpark;Rabenhorst;1;23568;Lübeck;0451 98902454;henze@geriatrie-luebeck.de;www.geriatrie-luebeck.de/;3;DRK-Therapiezentrum Marli GmbH;2;0;2;2;2;2;2
ID34;01;003;000;Krankenhaus Rotes Kreuz Lübeck -Geriatriezentrum-;Krankenhaus Rotes Kreuz Lübeck - Haus an der Wakenitz;Marlistraße;10;23566;Lübeck;0451 98902454;henze@geriatrie-luebeck.de;www.geriatrie-luebeck.de/;3;DRK-Therapiezentrum Marli GmbH;2;0;2;2;2;2;2
ID35;01;003;000;Sana Kliniken Lübeck GmbH;Sana Klinik Lübeck Süd;Kronsforder Allee;71-73;23560;Lübeck;0451-585-1223;florian.lanisnik@sana.de;www.sana.de/luebeck;3;Sana Kliniken Lübeck GmbH;2;3;2;2;2;2;2
ID36;01;003;000;Sana Kliniken Lübeck GmbH;Sana Praxisklinik Travemünde;Am Dreilingsberg;7;23570;Lübeck;0451-585-1223;florian.lanisnik@sana.de;www.sana.de/luebeck;3;Sana Kliniken Lübeck GmbH;2;3;2;2;2;2;2
ID37;01;003;000;Tagesklinik für Psychiatrie und Psychotherapie der BRÜCKE;Tagesklinik für Psychiatrie und Psychotherapie der BRÜCKE Lübeck und Ostholstein gGmbH;Spillerstraße;2a-b;23564;Lübeck;;controlling@die-bruecke.de;www.diebruecke-luebeck.de/behandlung-reha/tagesklinik/;2;Die Brücke Lübeck und Ostholstein - Gemeinnützige Therapeutische Einrichtungen GmbH;2;0;2;2;2;2;2
ID38;01;003;000;Universitätsklinikum Schleswig-Holstein;Universitätsklinikum Schleswig-Holstein Campus Lübeck;Ratzeburger Allee;160;23562;Lübeck;;christian.wenn@uksh.de;www.uksh.de/;1;Universitätsklinikum Schleswig-Holstein;1;3;1;1;1;1;1
ID39;01;003;000;Vorwerker Fachklinik für Kinder- und Jugendpsychiatrie, -psychotherapie und -psychosomatik;Fachklinik für Kinder- und Jugendpsychiatrie;Triftstraße;139;23554;Lübeck;0451 4002-50758;barbara.gaworzynska@vorwerker-diakonie.de;www.vorwerker-diakonie.de/kinder/kinder-und-jugendpsychiatrie/;2;Vorwerker Diakonie gGmbH;2;0;2;2;2;2;2
ID40;01;003;000;Zentrum für Integrative Psychiatrie ZIP gGmbH - Campus Lübeck;Zentrum für Integrative Psychiatrie ZIP gGmbH - Lübeck;Ratzeburger Allee;160;23554;Lübeck;;Marlies.Buhs@uksh.de;zip.uksh.de/;1;Zentrum für Integrative Psychiatrie ZIP gGmbH;2;0;2;2;2;2;2
ID41;01;004;000;DRK-Fachklinik Hahnknüll gGmbH;DRK-Fachklinik Hahnknüll gGmbH;Hahnknüll;58;24537;Neumünster;04321 905102;petra.gustafson@drk-nms.de;www.drk-nms.de/fachklinik-hahnknuell-1.html;2;DRK-Fachklinik Hahnknüll gGmbH;2;0;2;2;2;2;2
ID42;01;004;000;FEK - Friedrich-Ebert-Krankenhaus Neumünster GmbH;FEK - Friedrich-Ebert-Krankenhaus Neumünster GmbH;Friesenstraße;11;24534;Neumünster;04321 4051013;sven.backens@fek.de;www.friedrich-ebert-krankenhaus.de/;1;FEK - Friedrich-Ebert-Krankenhaus Neumünster GmbH;2;3;2;1;2;1;2
ID43;01;004;000;Klinik Klosterstraße GmbH;Klinik Klosterstraße GmbH;Klosterstraße;63-65;24536;Neumünster;0151 42620235;l.piepenborn@klinik-klosterstrasse.de;www.klinik-klosterstrasse.de/;3;Klinik Klosterstraße GmbH;2;0;2;2;2;2;2
ID44;01;004;000;Psychiatrische Tagesklinik Neumünster gGmbH;Psychiatrische Tagesklinik Neumünster gGmbH;Parkstraße;17;24534;Neumünster;;petra.gustafson@drk-nms.de;www.tagesklinik-nms.de/;2;Psychiatrische Tagesklinik Neumünster gGmbH;2;0;2;2;2;2;2
ID45;01;051;011;Westküstenkliniken Brunsbüttel und Heide gGmbH;Standort Brunsbüttel;Delbrückstraße;2;25541;Brunsbüttel;0481 7851024;koff@wkk-hei.de;www.westkuestenklinikum.de/;1;Westküstenklinikum Brunsbüttel und Heide gGmbH;2;0;2;2;2;2;2
ID46;01;051;044;Psychiatrische Tagesklinik Heide;Psychiatrische Tagesklinik Heide;Neue Anlage;18;25746;Heide;0431 9820597;b.marberg-bollmann@bruecke-sh.de;www.bruecke-sh.de/hier-sind-wir-fuer-sie-da/kreis-dithmarschen/;2;Brücke Schleswig-Holstein gGmbH;3;0;2;2;2;2;2
ID47;01;051;044;Universitätsklinikum Schleswig-Holstein;UKSH Kooperation am WWK Heide;Esmarchstraße;50;25746;Heide;;christian.wenn@uksh.de;www.uksh.de/;1;Universitätsklinikum Schleswig-Holstein;1;0;2;2;2;2;2
ID48;01;051;044;Westküstenkliniken Brunsbüttel und Heide gGmbH;Standort Heide;Esmarchstraße;50;25746;Heide;0481 7851024;koff@wkk-hei.de;www.westkuestenklinikum.de/;1;Westküstenklinikum Brunsbüttel und Heide gGmbH;2;3;2;1;2;2;2
ID49;01;053;020;Vorwerker Fachklinik für Kinder- und Jugendpsychiatrie, -psychotherapie und -psychosomatik;Tagesklinik am Rosenweg;Lauenburger Straße;39;21514;Büchen;0451 4002-50758;barbara.gaworzynska@vorwerker-diakonie.de;www.vorwerker-diakonie.de/kinder/kinder-und-jugendpsychiatrie/;2;Vorwerker Diakonie gGmbH;2;0;2;2;2;2;2
ID50;01;053;032;Johanniter - Klinik für Geriatrie Geesthacht;Johanniter - Klinik für Geriatrie Geesthacht;Johannes-Ritter-Straße;100;21502;Geesthacht;;Vila@johanniter-krankenhaus.de;www.johanniter.de/johanniter-kliniken/;2;Johanniter Geriatrie und Seniorenzentrum Geesthacht GmbH;2;0;2;2;2;2;2
ID51;01;053;032;Johanniter-Krankenhaus Geesthacht;Johanniter-Krankenhaus Geesthacht;Am Runden Berge;3;21502;Geesthacht;;Vila@johanniter-krankenhaus.de;www.johanniter.de/johanniter-kliniken/;3;Johanniter-Krankenhaus Geesthacht GmbH;2;1;2;2;2;2;2
ID52;01;053;032;VAMED Klinik Geesthacht;VAMED Klinik Geesthacht;Johannes-Ritter-Straße;100;21502;Geesthacht;0174 3280197;tim.werner2@vamed-gesundheit.de;www.vamed-gesundheit.de/reha/geesthacht/;3;VAMED Klinik Geesthacht GmbH;2;0;2;2;2;2;2
ID53;01;053;083;Johanniter-Krankenhaus Geesthacht;Psychiatrische Institutsambulanz;Grünstraße;13;21481;Lauenburg;;Vila@johanniter-krankenhaus.de;www.johanniter.de/johanniter-kliniken/;3;Johanniter-Krankenhaus Geesthacht GmbH;2;1;2;2;2;2;2
ID54;01;053;090;Johanniter-Krankenhaus Geesthacht;Tagesklinik Mölln;Wasserkrüger Weg;7;23879;Mölln;;Vila@johanniter-krankenhaus.de;www.johanniter.de/johanniter-kliniken/;3;Johanniter-Krankenhaus Geesthacht GmbH;2;0;2;2;2;2;2
ID55;01;053;100;DRK-Krankenhaus Mölln-Ratzeburg;DRK-Krankenhaus Mölln-Ratzeburg;Röpersberg;2;23909;Ratzeburg;04541 884-412;dfischer@drk-krankenhaus.de;www.drk-krankenhaus.de/home/;2;DRK-Krankenhaus Mölln-Ratzeburg gGmbH;2;1;2;2;2;2;2
ID56;01;053;100;Klinik für Geriatrie Ratzeburg;Klinik für Geriatrie Ratzeburg;Röpersberg;47;23909;Ratzeburg;;lgah.verw@neustadt.ameos.de;www.ameos.eu/standorte/ameos-nord/ratzeburg/;3;Klinik für Geriatrie Ratzeburg GmbH;2;0;2;2;2;2;2
ID57;01;053;116;Johanniter-Krankenhaus Geesthacht;Tagesklinik Schwarzenbek;Körnerplatz;6;21493;Schwarzenbek;;Vila@johanniter-krankenhaus.de;www.johanniter.de/johanniter-kliniken/;3;Johanniter-Krankenhaus Geesthacht GmbH;2;0;2;2;2;2;2
ID58;01;054;020;DIAKO Nordfriesland gGmbH - Fachklinik für Psychiatrie und Psychosomatik;DIAKO Fachklinik für Psychiatrie und Psychosomatik;Gammeltoft;8-15;25821;Breklum;;wienerbu@diako.de;www.diako-nf.de/;2;DIAKO Nordfriesland gGmbH;2;0;2;2;2;2;2
ID59;01;054;020;DIAKO Nordfriesland gGmbH - Fachklinik für Psychiatrie und Psychosomatik;DIAKO Tagesklinik Breklum;Gammeltoft;8;25821;Breklum;;wienerbu@diako.de;www.diako-nf.de/;2;DIAKO Nordfriesland gGmbH;2;0;2;2;2;2;2
ID60;01;054;056;DIAKO Nordfriesland gGmbH - Fachklinik für Psychiatrie und Psychosomatik;DIAKO Tagesklinik Husum;Theodor-Schäfer-Straße;1b;25813;Husum;;wienerbu@diako.de;www.diako-nf.de/;2;DIAKO Nordfriesland gGmbH;2;0;2;2;2;2;2
ID61;01;054;056;Helios Fachklinik Schleswig GmbH;Tagesklinik Kinder und Jugend Psychiatrie Husum;Theodor-Schäfer-Straße;1a;25813;Husum;04621 8121993;Sara-Marie.Otten@helios-gesundheit.de;www.helios-gesundheit.de/kliniken/schleswig/;3;Helios Fachklinik Schleswig GmbH;2;0;2;2;2;2;2
ID62;01;054;056;Klinik Dr. Winkler;Klinik Dr. Winkler;Brinckmannstraße;6;25813;Husum;;Sascha.Roedder@klinik-winkler.de;www.amedes-klinik-husum.de/;3;KLW Krankenhausbetriebsgesellschaft mbH & Co. KG;2;0;2;2;2;2;2
ID63;01;054;056;Klinikum Nordfriesland gGmbH - Klinik Husum und Klinik Niebüll;Klinikum Nordfriesland gGmbH - Klinik Husum;Erichsenweg;16;25813;Husum;;davina.weinrich@klinikum-nf.de;www.klinikum-nf.de/;1;Klinikum Nordfriesland gGmbH;2;2;2;2;2;2;2
ID64;01;054;088;DIAKO Nordfriesland gGmbH - Fachklinik für Psychiatrie und Psychosomatik;DIAKO Tagesklinik Niebüll;Bahnhofstraße;24a;25899;Niebüll;;wienerbu@diako.de;www.diako-nf.de/;2;DIAKO Nordfriesland gGmbH;2;0;2;2;2;2;2
ID65;01;054;088;Klinikum Nordfriesland gGmbH - Klinik Husum und Klinik Niebüll;Klinikum Nordfriesland gGmbH - Klinik Niebüll;Gather Landstraße;75;25899;Niebüll;;davina.weinrich@klinikum-nf.de;www.klinikum-nf.de/;1;Klinikum Nordfriesland gGmbH;2;1;2;2;2;2;2
ID66;01;054;164;Klinikum Nordfriesland gGmbH - Inselklinik Föhr-Amrum;Klinikum Nordfriesland gGmbH - Inselklinik Föhr-Amrum;Rebbelstieg;24;25938;Wyk auf Föhr;04841 6601514;davina.weinrich@klinikum-nf.de;www.klinikum-nf.de/kliniken-praxen/inselklinik-foehr-amrum/;1;Klinikum Nordfriesland gGmbH;2;1;2;2;2;2;2
ID67;01;054;168;Asklepios Nordseeklinik Westerland GmbH;Asklepios Nordseeklinik Westerland GmbH;Norderstraße;81;25980;Westerland;04651 84112-0;c.erichsen@asklepios.com;www.asklepios.com/sylt/;3;Asklepios Nordseeklinik Westerland GmbH;2;1;2;2;2;2;2
ID68;01;055;004;Helios Agnes Karll Krankenhaus;Helios Agnes Karll Krankenhaus;Am Hochkamp;21;23611;Bad Schwartau;;sandra.kroening@helios-gesundheit.de;www.helios-gesundheit.de/kliniken/bad-schwartau/;3;HELIOS Agnes-Karll-Krankenhaus GmbH;2;0;2;2;2;2;2
ID69;01;055;004;Ostsee-Klinik - Bad Schwartau;Ostsee-Klinik - Bad Schwartau;Anton-Baumann-Straße;1;23611;Bad Schwartau;0451 88988714;dietz@ostsee-klinik.de;www.ostsee-klinik.de/;3;Ostsee-Klinik GmbH & Co. KG;4;1;2;2;2;2;2
ID70;01;055;012;AMEOS Klinika Neustadt, Lübeck und Eutin;AMEOS Klinikum Eutin;Janusstraße;5;23701;Eutin;;lgah.verw@neustadt.ameos.de;www.ameos.eu/standorte/ameos-nord/;3;AMEOS Krankenhausgesellschaft Holstein mbH;2;0;2;2;2;2;2
ID71;01;055;012;AMEOS Krankenhausgesellschaft Ostholstein mbH;AMEOS Klinikum Eutin;Hospitalstraße;22;23701;Eutin;;Alexander.Zawadzki@Sana.de;www.sana-oh.de/sana-kliniken-ostholstein/;3;AMEOS Krankenhausgesellschaft Ostholstein mbH;2;2;2;2;2;2;2
ID72;01;055;012;Sankt Elisabeth Krankenhaus Eutin GmbH;Sankt Elisabeth Krankenhaus Eutin GmbH;Plöner Straße;42;23701;Eutin;04521 802131;schipp@sek-eutin.de;www.sek-eutin.de/;2;Sankt Elisabeth Krankenhaus Eutin GmbH;2;0;2;2;2;2;2
ID73;01;055;012;Vorwerker Fachklinik für Kinder- und Jugendpsychiatrie, -psychotherapie und -psychosomatik;Tagesklinik am Kleinen See;Hospitalstraße;22;23701;Eutin;0451 4002-50758;barbara.gaworzynska@vorwerker-diakonie.de;www.vorwerker-diakonie.de/kinder/kinder-und-jugendpsychiatrie/;2;Vorwerker Diakonie gGmbH;2;0;2;2;2;2;2
ID74;01;055;021;AMEOS Klinika Heiligenhafen, Kiel, Oldenburg i.H., Preetz;AMEOS Klinikum Heiligenhafen;Friedrich-Ebert-Straße;100;23774;Heiligenhafen;;lgah.verw@neustadt.ameos.de;www.ameos.eu/standorte/ameos-nord/heiligenhafen/;3;AMEOS Krankenhausgesellschaft Holstein mbH;2;0;2;2;2;2;2
ID75;01;055;028;August-Bier-Klinik;August-Bier-Klinik;Diekseepromenade;7-11;23714;Bad Malente-Gremsmühlen;04523 405-182;s.bruehl@august-bier-klinik.de;www.august-bier-klinik.de/;2;Stiftung August-Bier-Klinik;3;0;2;2;2;2;2
ID76;01;055;028;Curtius Klinik GmbH & Co. KG Fachklinik für Psychosomatik und Psychotherapeutische Medizin;Curtius Klinik GmbH & Co. KG;Neue Kampstraße;2;23714;Bad Malente-Gremsmühlen;04523 407404;i.franke@curtius-klinik.de;www.curtius-klinik.de/;3;Curtius-Klinik GmbH & Co. KG;2;0;2;2;2;2;2
ID77;01;055;032;AMEOS Klinika Neustadt, Lübeck und Eutin;AMEOS Klinikum Neustadt;Wiesenhof;;23730;Neustadt in Holstein;;lgah.verw@neustadt.ameos.de;www.ameos.eu/standorte/ameos-nord/;3;AMEOS Krankenhausgesellschaft Holstein mbH;2;0;2;2;2;2;2
ID78;01;055;032;Kinderzentrum Pelzerhaken gGmbH;Kinderzentrum Pelzerhaken gGmbH;Zum Leuchtturm;4;23730;Neustadt in Holstein;04561 7109130;braun@kinderzentrum-pelzerhaken.de;kinderzentrum-pelzerhaken.de/;2;Kinderzentrum Pelzerhaken - Sozialpädiatrische Fachklinik, Sozialpädiatrisches Zentrum gGmbH;2;0;2;2;2;2;2
ID79;01;055;032;Schön Klinik Neustadt;Schön Klinik Neustadt;Am Kiebitzberg;10;23730;Neustadt in Holstein;040 20923165;ggruening@schoen-klinik.de;www.schoen-klinik.de/neustadt;3;Schön Klinik Neustadt SE & Co. KG;2;2;2;2;2;2;2
ID80;01;055;032;Schön Klinik Neustadt Privatpatientenklinik;Schön Klinik Neustadt Privatpatientenklinik;Am Kiebitzberg;10;23730;Neustadt;040 20923165;ggruening@schoen-klinik.de;www.schoen-klinik.de/neustadt/wahlleistungen;3;Schön Klinik Neustadt SE & Co. KG;4;0;2;2;2;2;2
ID81;01;055;032;Tagesklinik Ostholstein gGmbH;Tagesklinik Ostholstein gGmbH;Rettiner Weg;30;23730;Neustadt in Holstein;;lgah.verw@neustadt.ameos.de;tagesklinik-ostholstein.de/;3;Tagesklinik Ostholstein gGmbH;2;0;2;2;2;2;2
ID82;01;055;033;AMEOS Klinika Heiligenhafen, Kiel, Oldenburg i.H., Preetz;AMEOS Klinikum Oldenburg (Neurologie);Mühlenkamp;5;23758;Oldenburg in Holstein;;lgah.verw@neustadt.ameos.de;www.ameos.eu/standorte/ameos-nord/heiligenhafen/;3;AMEOS Krankenhausgesellschaft Holstein mbH;2;0;2;2;2;1;2
ID83;01;055;033;AMEOS Klinika Heiligenhafen, Kiel, Oldenburg i.H., Preetz;AMEOS Klinikum Oldenburg (Psychiatrie);Hoheluftstraße;10;23758;Oldenburg in Holstein;;lgah.verw@neustadt.ameos.de;www.ameos.eu/standorte/ameos-nord/heiligenhafen/;3;AMEOS Krankenhausgesellschaft Holstein mbH;2;0;2;2;2;2;2
ID84;01;055;033;AMEOS Krankenhausgesellschaft Ostholstein mbH;AMEOS Klinikum Oldenburg;Mühlenkamp;5;23758;Oldenburg in Holstein;;Alexander.Zawadzki@Sana.de;www.sana-oh.de/sana-kliniken-ostholstein/;3;AMEOS Krankenhausgesellschaft Ostholstein mbH;2;1;2;2;2;2;2
ID85;01;055;041;AMEOS Krankenhausgesellschaft Ostholstein mbH;AMEOS Klinikum Middelburg;Middelburger Straße;1;23701;Süsel;;Alexander.Zawadzki@Sana.de;www.sana-oh.de/sana-kliniken-ostholstein/;3;AMEOS Krankenhausgesellschaft Ostholstein mbH;2;0;2;2;2;2;2
ID86;01;055;046;AMEOS Krankenhausgesellschaft Ostholstein mbH;Inselklinik Fehmarn;Mummendorfer Weg;12;23769;Fehmarn;;Alexander.Zawadzki@Sana.de;www.sana-oh.de/sana-kliniken-ostholstein/;3;AMEOS Krankenhausgesellschaft Ostholstein mbH;2;1;2;2;2;2;2
ID87;01;056;008;Fachklinik Bokholt;Fachklinik Bokholt;Hanredder;30-32;25335;Bokholt-Hanredder;040 2000109024;anja-reiser@therapiehilfe.de;www.therapiehilfe.de/standorte/;2;Therapiehilfe gGmbH;2;0;2;2;2;2;2
